,GSM160306,GSM160307,GSM160308,GSM160309,GSM160310,GSM160311
32175_at,1943.3,2661.2,959,2768.3,2993.6,2279.3
32176_at,65,26.3,1,3.2,-15.5,-56.6
32177_s_at,139,127.1,39.5,94.4,57.9,85.6
32178_r_at,55.3,9.3,16.3,31.7,17.5,14.7
32179_s_at,3,-3.6,2.4,4.9,5.6,1.7
32180_s_at,223,194.3,87.3,170.1,133.1,212.6
32181_at,60.1,72.4,-64.5,179,-51,183
32182_at,67.2,52.9,14,65.8,86.9,104.7
32183_at,539.9,430.4,128.3,322,459.5,329.4
32184_at,359.4,187.4,48.1,122.6,167.2,99.5
32185_at,203.4,230.4,78.2,286.1,213.5,190.3
32186_at,812.9,512.9,206.7,570.8,366.5,512.3
32187_at,37.7,43.6,5.8,8.2,29.3,36
32188_at,52.5,76.5,22.3,77.5,38.1,55.5
32189_g_at,38.6,147.2,4.9,32.5,34.2,11.2
32190_at,228.4,411.9,109.1,309.6,138,294.2
32191_at,76.5,51.7,14.6,-14.5,66.6,79.7
32192_g_at,683.6,671.3,271.3,812,696.1,823.1
32193_at,238.1,224.9,85.8,183.8,126.1,213.7
32194_at,171.8,107.7,38.1,143.3,116.6,131.9
32195_at,479,547.2,226.4,563.2,490.7,588.6
32196_at,241.4,293.8,50.6,180,299.7,324.7
32197_at,357.5,385.5,162.9,327.9,410,460
32198_at,238,368.4,98.7,402.4,376.5,299.4
32199_at,194.8,207.5,189.7,159.9,177.3,136.5
321_at,-9.1,-50.6,-20.6,-12,2.9,40.3
32200_at,13.7,4.2,6.7,11.8,16.6,6.5
32201_at,416.7,196.6,46.9,299.7,227.4,151.5
32202_at,43.3,37.3,-38.7,97.5,14.5,15.3
32203_at,154.5,176.4,47,117.1,153.8,136.7
32204_at,-401.7,-470,-233.6,-687.6,-380.9,-315.7
32205_at,383.3,429.3,190,387.3,487.2,439.5
32206_at,413.8,519.7,227.5,449.6,515.9,420.7
32207_at,256.4,240.7,66.2,157.6,336.6,266.8
32208_at,113.4,123.5,58.3,148.9,97.3,112
32209_at,380.2,453,282.5,534.3,371.1,462.7
32210_at,199.2,237.8,59.8,242.5,217,205.1
32211_at,78.2,5.7,-7.3,18,95.1,84.5
32212_at,31.5,39.3,14,62.1,42.7,29.3
32213_at,144.7,200.9,42.9,215.5,214.5,150.8
32214_at,349.7,349.1,111.6,259.1,317,288.2
32215_i_at,73.1,137.1,38,127.1,67.3,164
32216_r_at,9.7,16.2,-5.7,27.8,9.4,22.4
32217_at,257,231.5,73.8,215.1,240.5,319.3
32218_at,1752.7,2757.7,958.7,2226.1,2622.5,2367.1
32219_at,520.7,668.2,265.6,370.4,642.9,591
32220_at,1069.6,1009.2,433.9,1020.2,1252.9,938.5
32221_at,340.4,410.9,122.8,414.9,370.2,462.4
32222_at,101.9,156.5,27.9,78.2,95.4,108.6
32223_at,1841.9,1716.3,478.5,1722.4,1747.4,1663.4
32224_at,123.6,131.5,47.4,145.5,123.4,146.9
32225_at,536.6,267.8,80.7,302,453.8,505.6
32226_at,474,502.1,215.4,582.8,554.9,472.3
32227_at,1661.5,108,112.4,256.1,105.1,130.2
32228_at,855.1,1003.4,339,1028,997.7,1044.6
32229_at,121.4,128.2,15,123.6,99.9,120.9
32230_at,377.9,260.5,71,225.8,354.1,369.3
32231_at,8.7,27.2,10.5,37.2,33.3,1.7
32232_at,715,934.2,351.6,870.8,764.8,1007.6
32233_at,65.2,38.1,15,46.3,24.7,38.3
32234_at,309.8,345.2,116.5,312.6,367.3,288.7
32235_at,1089.7,1101.2,238.2,1045.5,818.2,1045.8
32236_at,372.9,387.3,139.1,329.6,356.6,389.2
32237_at,300.1,335.7,138,255.4,287.4,418.4
32238_at,771.5,408.1,379.6,988.2,677.1,711.7
32239_at,22.3,17.9,7.4,29.9,11.1,7.9
32240_at,171.1,248.5,64.7,185.1,238.8,234.7
32241_at,615.3,565.7,348.5,656.3,532.9,679.8
32242_at,497.4,214.2,337.4,1318,698.9,483.2
32243_g_at,1040.4,613.4,710.9,3326.7,1773.7,1031.3
32244_at,36.9,100.2,31.3,104.3,115.5,135.2
32245_at,63.8,-71.9,-1.9,69.5,39.4,-19.7
32246_g_at,73.7,108,3.5,64.4,72.3,60.3
32247_at,86.7,109.5,43.8,79,123.4,112.5
32248_at,91.5,136.8,41.7,149.3,120.3,123
32249_at,72.8,22.7,15.4,70.3,9.4,32.5
32250_at,16.3,-99.4,-32.3,42.9,-27,39.9
32251_at,1119.1,1109.6,472.8,885.4,1138.3,631.4
